color_name,R,G,B
YellowGreen,154,205,50
Gray_approx,145,145,140
Black_approx,22,17,23
Black_approx_approx,24,20,24
Gray_approx_approx,156,149,142
Silver_approx,183,183,181
DimGray_approx,101,87,83
DarkGray_approx,159,170,170
Black_approx_approx_approx,31,43,32
Black_approx_approx,10,22,12
Gray_approx_approx_approx,150,148,144
Gray_approx_approx_approx_approx,151,147,143
Gray_approx_approx,147,143,138
Gray_approx_approx_approx_approx,153,154,149
Black_approx_approx_approx_approx,63,32,30
Black_approx_approx_approx_approx_approx,76,49,40
Silver_approx,189,189,186
DimGray_approx_approx,109,70,57
Black_approx_approx_approx_approx_approx,72,41,26
Black_approx_approx_approx_approx_approx_approx,86,58,55
Black_approx_approx_approx,14,7,6
Gray_approx_approx_approx,143,140,131
Silver_approx,182,191,194
LightGray_approx,207,203,197
LightGray_approx_approx,203,197,194
DarkGray_approx,177,173,166
DimGray_approx_approx,131,94,75
Black_approx_approx_approx,8,16,21
Black_approx_approx_approx,19,29,26
Black_approx_approx_approx_approx,36,45,38
Gray_approx_approx_approx_approx_approx,159,154,157
Gray_approx,110,115,125
Gray_approx,127,133,140
Gray_approx_approx_approx_approx,169,120,116
Black_approx_approx_approx_approx_approx_approx,73,50,35
Gray_approx_approx_approx_approx_approx,163,118,85
Gray_approx_approx_approx,152,143,135
Black_approx_approx_approx_approx,23,33,23
Black_approx_approx_approx_approx,0,21,45
Black_approx_approx_approx_approx,11,14,16
Gray_approx_approx_approx,143,142,136
AliceBlue,240,248,255
AntiqueWhite,250,235,215
Aqua,0,255,255
Aquamarine,127,255,212
Azure,240,255,255
Beige,245,245,220
Bisque,255,228,196
Black,0,0,0
BlanchedAlmond,255,235,205
Blue,0,0,255
BlueViolet,138,43,226
Brown,165,42,42
BurlyWood,222,184,135
CadetBlue,95,158,160
Chartreuse,127,255,0
Chocolate,210,105,30
Coral,255,127,80
CornflowerBlue,100,149,237
Cornsilk,255,248,220
Crimson,220,20,60
Cyan,0,255,255
DarkBlue,0,0,139
DarkCyan,0,139,139
DarkGoldenRod,184,134,11
DarkGray,169,169,169
DarkGreen,0,100,0
DarkKhaki,189,183,107
DarkMagenta,139,0,139
DarkOliveGreen,85,107,47
DarkOrange,255,140,0
DarkOrchid,153,50,204
DarkRed,139,0,0
DarkSalmon,233,150,122
DarkSeaGreen,143,188,143
DarkSlateBlue,72,61,139
DarkSlateGray,47,79,79
DarkTurquoise,0,206,209
DarkViolet,148,0,211
DeepPink,255,20,147
DeepSkyBlue,0,191,255
DimGray,105,105,105
DodgerBlue,30,144,255
FireBrick,178,34,34
FloralWhite,255,250,240
ForestGreen,34,139,34
Fuchsia,255,0,255
Gainsboro,220,220,220
GhostWhite,248,248,255
Gold,255,215,0
GoldenRod,218,165,32
Gray,128,128,128
Green,0,128,0
GreenYellow,173,255,47

